[2026-04-24 14:35:45.97] Compiling test/EchidnaLotteryVRF.t.sol... Done! (3.24692021s)
Analyzing contract: /workspace/LotterySystem/test/EchidnaLotteryVRF.t.sol:EchidnaLotteryVRF
[2026-04-24 14:35:49.30] Running slither on test/EchidnaLotteryVRF.t.sol... Done! (0.833129584s)
[2026-04-24 14:35:51.84] [Worker 1] New coverage: 1635 instr, 1 contracts, 1 seqs in corpus
[2026-04-24 14:35:51.88] [Worker 6] New coverage: 1635 instr, 1 contracts, 2 seqs in corpus
[2026-04-24 14:35:52.01] [Worker 0] New coverage: 1635 instr, 1 contracts, 3 seqs in corpus
[2026-04-24 14:35:52.02] [Worker 3] New coverage: 1635 instr, 1 contracts, 4 seqs in corpus
[2026-04-24 14:35:52.05] [Worker 4] New coverage: 1635 instr, 1 contracts, 5 seqs in corpus
[2026-04-24 14:35:52.06] [Worker 5] New coverage: 1635 instr, 1 contracts, 6 seqs in corpus
[2026-04-24 14:35:52.15] [Worker 7] New coverage: 1635 instr, 1 contracts, 7 seqs in corpus
[2026-04-24 14:35:52.22] [Worker 2] New coverage: 1635 instr, 1 contracts, 8 seqs in corpus
[2026-04-24 14:35:53.22] [status] tests: 0/2, fuzzing: 4126/1000000, values: [], cov: 1635, corpus: 8
[2026-04-24 14:46:10.15] [status] tests: 0/2, fuzzing: 854033/1000000, values: [], cov: 2270, corpus: 20
[2026-04-24 14:46:13.20] [status] tests: 0/2, fuzzing: 857823/1000000, values: [], cov: 2270, corpus: 20
[2026-04-24 14:46:16.24] [status] tests: 0/2, fuzzing: 862332/1000000, values: [], cov: 2270, corpus: 20
[2026-04-24 14:46:19.26] [status] tests: 0/2, fuzzing: 867342/1000000, values: [], cov: 2270, corpus: 20
[2026-04-24 14:46:22.30] [status] tests: 0/2, fuzzing: 871350/1000000, values: [], cov: 2270, corpus: 20
[2026-04-24 14:46:25.31] [status] tests: 0/2, fuzzing: 875358/1000000, values: [], cov: 2270, corpus: 20
[2026-04-24 14:46:28.34] [status] tests: 0/2, fuzzing: 879867/1000000, values: [], cov: 2270, corpus: 20
[2026-04-24 14:46:31.38] [status] tests: 0/2, fuzzing: 884141/1000000, values: [], cov: 2270, corpus: 20
[2026-04-24 14:46:34.42] [status] tests: 0/2, fuzzing: 889151/1000000, values: [], cov: 2270, corpus: 20
[2026-04-24 14:46:37.47] [status] tests: 0/2, fuzzing: 893557/1000000, values: [], cov: 2270, corpus: 20
[2026-04-24 14:46:40.49] [status] tests: 0/2, fuzzing: 898066/1000000, values: [], cov: 2270, corpus: 20
[2026-04-24 14:46:43.51] [status] tests: 0/2, fuzzing: 901573/1000000, values: [], cov: 2270, corpus: 20
[2026-04-24 14:46:46.52] [status] tests: 0/2, fuzzing: 905779/1000000, values: [], cov: 2270, corpus: 20
[2026-04-24 14:46:49.56] [status] tests: 0/2, fuzzing: 911290/1000000, values: [], cov: 2270, corpus: 20
[2026-04-24 14:46:52.58] [status] tests: 0/2, fuzzing: 916245/1000000, values: [], cov: 2270, corpus: 20
[2026-04-24 14:46:55.63] [status] tests: 0/2, fuzzing: 920754/1000000, values: [], cov: 2270, corpus: 20
[2026-04-24 14:46:58.67] [status] tests: 0/2, fuzzing: 924417/1000000, values: [], cov: 2270, corpus: 20
[2026-04-24 14:47:01.75] [status] tests: 0/2, fuzzing: 928425/1000000, values: [], cov: 2270, corpus: 20
[2026-04-24 14:47:04.77] [status] tests: 0/2, fuzzing: 932732/1000000, values: [], cov: 2270, corpus: 20
[2026-04-24 14:47:07.80] [status] tests: 0/2, fuzzing: 937241/1000000, values: [], cov: 2270, corpus: 20
[2026-04-24 14:47:10.81] [status] tests: 0/2, fuzzing: 941329/1000000, values: [], cov: 2270, corpus: 20
[2026-04-24 14:47:13.87] [status] tests: 0/2, fuzzing: 945337/1000000, values: [], cov: 2270, corpus: 20
[2026-04-24 14:47:16.89] [status] tests: 0/2, fuzzing: 949846/1000000, values: [], cov: 2270, corpus: 20
[2026-04-24 14:47:19.94] [status] tests: 0/2, fuzzing: 954856/1000000, values: [], cov: 2270, corpus: 20
[2026-04-24 14:47:22.99] [status] tests: 0/2, fuzzing: 959866/1000000, values: [], cov: 2270, corpus: 20
[2026-04-24 14:47:26.02] [status] tests: 0/2, fuzzing: 963726/1000000, values: [], cov: 2270, corpus: 20
[2026-04-24 14:47:29.08] [status] tests: 0/2, fuzzing: 968235/1000000, values: [], cov: 2270, corpus: 20
[2026-04-24 14:47:32.09] [status] tests: 0/2, fuzzing: 972670/1000000, values: [], cov: 2270, corpus: 20
[2026-04-24 14:47:33.82] [Worker 2] Test limit reached. Stopping.
[2026-04-24 14:47:34.23] [Worker 5] Test limit reached. Stopping.
[2026-04-24 14:47:35.10] [status] tests: 0/2, fuzzing: 976666/1000000, values: [], cov: 2270, corpus: 20
[2026-04-24 14:47:38.12] [status] tests: 0/2, fuzzing: 981312/1000000, values: [], cov: 2270, corpus: 20
[2026-04-24 14:47:38.16] [Worker 7] Test limit reached. Stopping.
[2026-04-24 14:47:39.69] [Worker 6] Test limit reached. Stopping.
[2026-04-24 14:47:41.14] [status] tests: 0/2, fuzzing: 985106/1000000, values: [], cov: 2270, corpus: 20
[2026-04-24 14:47:44.14] [status] tests: 0/2, fuzzing: 988112/1000000, values: [], cov: 2270, corpus: 20
[2026-04-24 14:47:46.17] [Worker 0] Test limit reached. Stopping.
[2026-04-24 14:47:47.15] [status] tests: 0/2, fuzzing: 991619/1000000, values: [], cov: 2270, corpus: 20
[2026-04-24 14:47:48.73] [Worker 4] Test limit reached. Stopping.
[2026-04-24 14:47:49.84] [Worker 1] Test limit reached. Stopping.
[2026-04-24 14:47:50.16] [status] tests: 0/2, fuzzing: 994363/1000000, values: [], cov: 2270, corpus: 20
[2026-04-24 14:47:53.16] [status] tests: 0/2, fuzzing: 995866/1000000, values: [], cov: 2270, corpus: 20
[2026-04-24 14:47:56.16] [status] tests: 0/2, fuzzing: 997172/1000000, values: [], cov: 2270, corpus: 20
[2026-04-24 14:47:59.17] [status] tests: 0/2, fuzzing: 998008/1000000, values: [], cov: 2270, corpus: 20
[2026-04-24 14:48:02.17] [status] tests: 0/2, fuzzing: 999499/1000000, values: [], cov: 2270, corpus: 20
[2026-04-24 14:48:05.18] [status] tests: 0/2, fuzzing: 1000715/1000000, values: [], cov: 2270, corpus: 20
[2026-04-24 14:48:07.36] [Worker 3] Test limit reached. Stopping.
[2026-04-24 14:48:07.36] [status] tests: 0/2, fuzzing: 1001717/1000000, values: [], cov: 2270, corpus: 20
echidna_validPhaseBounds: passing
echidna_balanceCoversPrizePool: passing


Unique instructions: 2270
Unique codehashes: 1
Corpus size: 20
Seed: 5026821244921087421

